account_id,account_name,industry,company_size_band,employees,annual_revenue_usd,territory_id,created_date,engagement_score
1,Nova Group 0,Technology,SMB,138,14590000.0,24,2023-05-15,37.3
2,Meridian Solutions 1,Government,SMB,224,21755000.0,19,2023-10-03,75.7
3,Atlas Holdings 2,Education,SMB,245,38911000.0,3,2022-06-01,58.8
4,Cedar Partners 3,Government,Mid-Market,843,80359000.0,18,2022-08-11,65.5
5,Ironwood LLC 4,Healthcare,SMB,192,22814000.0,15,2023-10-06,64.0
6,Cobalt Co. 5,Energy & Utilities,Mid-Market,1064,134201000.0,8,2022-02-11,73.5
7,Lumen Ltd. 6,Retail & eCommerce,Mid-Market,683,114191000.0,24,2023-11-25,83.0
8,Orbit Solutions 7,Technology,Enterprise,37306,3679921000.0,14,2022-02-26,79.1
9,Anchor Solutions 8,Technology,SMB,180,16736000.0,2,2022-10-08,88.2
10,Silverline Partners 9,Education,SMB,99,24268000.0,14,2022-04-28,31.4
11,Crestline Co. 10,Technology,SMB,185,19119000.0,10,2022-06-04,55.1
12,Granite Co. 11,Financial Services,SMB,174,44756000.0,10,2023-04-22,44.2
13,Bluewave Ltd. 12,Media & Telecom,Mid-Market,2253,219544000.0,24,2023-05-28,56.9
14,Lumen Co. 13,Technology,SMB,215,37607000.0,1,2023-07-03,57.6
15,Vantage Ltd. 14,Technology,SMB,180,16161000.0,8,2023-08-29,85.3
16,Orbit Solutions 15,Media & Telecom,SMB,165,14916000.0,3,2023-04-01,54.8
17,Harbor Group 16,Retail & eCommerce,Mid-Market,769,78432000.0,23,2022-11-14,54.2
18,Ironwood Ltd. 17,Technology,SMB,166,19681000.0,7,2023-06-07,47.3
19,Vantage Solutions 18,Energy & Utilities,Mid-Market,918,178685000.0,23,2023-12-08,88.3
20,Lumen Inc. 19,Energy & Utilities,Mid-Market,1783,178649000.0,13,2022-03-18,15.9
21,Summit Holdings 20,Financial Services,SMB,242,29688000.0,20,2023-06-18,49.1
22,Cedar Holdings 21,Retail & eCommerce,Mid-Market,308,42958000.0,19,2022-07-20,63.3
23,Cobalt Ltd. 22,Manufacturing,SMB,68,15808000.0,1,2023-04-13,68.6
24,Atlas Ltd. 23,Technology,Mid-Market,1794,356587000.0,2,2023-01-31,59.6
25,Meridian Inc. 24,Retail & eCommerce,Mid-Market,1787,431207000.0,2,2023-11-06,48.0
26,Summit Ltd. 25,Manufacturing,SMB,32,6398000.0,19,2022-09-01,58.9
27,Northgate Co. 26,Education,Enterprise,46975,8777932000.0,1,2022-05-30,30.8
28,Bluewave LLC 27,Professional Services,SMB,147,16253000.0,23,2022-10-01,29.0
29,Summit LLC 28,Technology,SMB,142,34553000.0,2,2023-02-27,48.8
30,Cedar Partners 29,Retail & eCommerce,SMB,228,41976000.0,8,2022-06-25,72.2
31,Vantage Group 30,Manufacturing,SMB,186,16085000.0,6,2023-04-04,63.0
32,Meridian Co. 31,Energy & Utilities,Mid-Market,1214,206594000.0,8,2022-02-07,49.7
33,Orbit Holdings 32,Manufacturing,SMB,65,9501000.0,20,2023-06-06,60.8
34,Cedar Group 33,Retail & eCommerce,Mid-Market,2251,573588000.0,18,2023-09-20,87.9
35,Nova Solutions 34,Retail & eCommerce,Enterprise,17700,2132516000.0,5,2023-11-12,74.0
36,Atlas Co. 35,Healthcare,SMB,95,23393000.0,12,2023-05-17,36.9
37,Bluewave Solutions 36,Education,SMB,245,46703000.0,14,2023-05-20,23.0
38,Falcon Co. 37,Government,Mid-Market,1874,174369000.0,21,2023-05-08,53.4
