lead_id,account_id,source,created_date,lead_score,status,converted_to_opportunity,contact_id
1,14223,Trade Show / Event,2025-04-06,40.7,Disqualified,False,28501
2,66872,Outbound - Email,2025-12-11,15.6,Nurturing,False,133773
3,16491,Outbound - Cold Call,2025-08-26,6.3,Disqualified,False,33029
4,92196,Inbound - Web,2024-06-25,48.8,Nurturing,False,184388
5,84865,Inbound - Web,2025-04-10,24.3,Disqualified,False,169709
6,44490,Inbound - Web,2024-01-27,62.7,Converted,True,88943
7,41551,Inbound - Web,2026-03-17,20.5,Disqualified,False,83129
8,19547,Referral,2025-03-30,17.9,Disqualified,False,39110
9,74804,Trade Show / Event,2024-03-07,13.7,Nurturing,False,149675
10,99515,Outbound - Cold Call,2024-06-28,32.6,Nurturing,False,199042
11,40983,Inbound - Web,2024-10-29,26.0,Converted,True,82012
12,66754,Outbound - Cold Call,2026-01-23,26.1,Nurturing,False,133545
13,58730,Partner Channel,2025-01-11,29.9,Nurturing,False,117475
14,108069,Outbound - Cold Call,2024-03-04,11.3,Disqualified,False,216242
15,3804,Referral,2025-02-09,11.8,Nurturing,False,7588
16,100612,Referral,2024-10-25,32.6,Converted,True,201266
17,36840,Partner Channel,2025-07-06,27.7,Nurturing,False,73753
18,119552,Outbound - Email,2024-04-16,37.7,Disqualified,False,239204
19,39553,Outbound - Cold Call,2026-01-04,12.0,Nurturing,False,79121
20,93470,Partner Channel,2024-09-17,57.1,Converted,True,186994
21,112359,Referral,2026-03-24,59.5,Nurturing,False,224848
22,14512,Inbound - Web,2025-06-03,18.9,Converted,True,29075
23,21082,Outbound - Cold Call,2024-04-27,18.3,Disqualified,False,42224
24,6276,Inbound - Web,2025-07-05,26.0,Converted,True,12626
25,12772,Referral,2024-08-21,40.7,Converted,True,25567
26,49590,Trade Show / Event,2025-06-13,38.3,Nurturing,False,99078
27,81655,Outbound - Email,2026-06-08,12.6,Nurturing,False,163285
28,20602,Outbound - Cold Call,2025-09-13,24.7,Disqualified,False,41263
29,72138,Inbound - Web,2025-08-28,42.8,Disqualified,False,144302
30,59280,Inbound - Web,2026-05-14,50.1,Converted,True,118601
31,34466,Inbound - Web,2025-06-13,49.9,Nurturing,False,68984
32,10638,Outbound - Email,2024-09-12,18.2,Disqualified,False,21317
33,112963,Referral,2025-05-16,20.7,Nurturing,False,226061
34,24475,Partner Channel,2024-07-12,33.2,Disqualified,False,48978
35,4274,Outbound - Cold Call,2024-07-22,37.6,Disqualified,False,8566
36,8624,Inbound - Web,2024-11-18,18.3,Disqualified,False,17340
37,107430,Inbound - Web,2026-02-08,48.8,Converted,True,214966
38,109323,Outbound - Cold Call,2025-09-15,15.5,Disqualified,False,218740
39,41255,Outbound - Cold Call,2025-01-12,38.3,Converted,True,82546
40,90443,Inbound - Web,2026-03-14,10.2,Nurturing,False,180845
41,38117,Inbound - Web,2025-05-02,38.0,Disqualified,False,76279
42,40716,Inbound - Web,2024-06-21,43.0,Disqualified,False,81456
43,64634,Outbound - Email,2026-01-26,30.7,Disqualified,False,129310
44,59103,Referral,2026-03-28,46.7,Disqualified,False,118238
45,115969,Outbound - Email,2026-05-22,27.7,Disqualified,False,232079
46,30367,Outbound - Email,2025-05-28,40.9,Disqualified,False,60878
47,22048,Outbound - Email,2025-09-23,22.0,Disqualified,False,44121
48,2124,Inbound - Web,2025-08-11,7.1,Disqualified,False,4228
49,75871,Outbound - Email,2025-06-29,59.8,Converted,True,151774
50,50270,Inbound - Web,2024-04-19,56.7,Disqualified,False,100428
51,111067,Outbound - Cold Call,2024-06-22,16.1,Nurturing,False,222232
52,6243,Referral,2024-09-01,67.7,Disqualified,False,12558
53,98365,Outbound - Email,2025-07-08,41.9,Nurturing,False,196776
54,73666,Partner Channel,2024-09-25,22.1,Nurturing,False,147369
55,4901,Inbound - Web,2026-02-10,25.0,Disqualified,False,9849
56,71890,Partner Channel,2025-12-27,31.8,Nurturing,False,143816
57,97324,Trade Show / Event,2024-06-20,52.6,Disqualified,False,194708
58,29125,Inbound - Web,2025-04-17,41.7,Disqualified,False,58344
59,105762,Referral,2025-02-25,21.0,Disqualified,False,211623
60,60897,Outbound - Cold Call,2024-02-13,31.8,Converted,True,121840
61,88152,Inbound - Web,2025-05-15,39.6,Disqualified,False,176266
62,93571,Referral,2026-01-21,30.9,Disqualified,False,187198
63,19623,Referral,2024-03-04,35.7,Converted,True,39263
64,119912,Referral,2024-07-14,54.3,Converted,True,239940
65,98878,Outbound - Cold Call,2024-02-17,22.1,Disqualified,False,197804
66,18395,Referral,2024-12-12,12.8,Disqualified,False,36778
67,68643,Trade Show / Event,2026-08-05,15.1,Disqualified,False,137309
68,23843,Referral,2026-08-09,37.3,Disqualified,False,47751
69,20076,Partner Channel,2024-02-17,17.2,Disqualified,False,40190
70,104402,Outbound - Cold Call,2024-08-15,22.2,Converted,True,208975
71,93911,Inbound - Web,2025-08-30,29.9,Converted,True,187885
72,3486,Trade Show / Event,2024-12-02,23.1,Converted,True,6957
73,22939,Inbound - Web,2025-09-11,38.8,Disqualified,False,45933
74,90526,Inbound - Web,2024-04-29,21.8,Disqualified,False,181016
75,55057,Referral,2024-01-12,21.0,Nurturing,False,110100
76,61608,Inbound - Web,2025-05-03,58.5,Nurturing,False,123257
77,65754,Outbound - Cold Call,2024-12-10,29.5,Disqualified,False,131569
78,53986,Outbound - Cold Call,2025-04-05,25.0,Nurturing,False,107943
79,24064,Inbound - Web,2025-03-10,21.7,Disqualified,False,48180
80,111072,Partner Channel,2024-08-04,42.7,Converted,True,222240
81,64886,Partner Channel,2025-07-09,15.2,Disqualified,False,129813
82,23568,Inbound - Web,2026-07-22,33.0,Disqualified,False,47184
83,46356,Partner Channel,2025-06-27,10.2,Converted,True,92658
84,44355,Referral,2024-04-25,58.1,Converted,True,88675
85,101747,Referral,2024-09-20,37.9,Nurturing,False,203583
86,117551,Outbound - Email,2025-12-22,40.8,Disqualified,False,235206
87,950,Partner Channel,2026-06-27,29.5,Disqualified,False,1904
88,29024,Inbound - Web,2025-08-14,20.3,Nurturing,False,58147
89,75332,Referral,2024-12-15,37.5,Converted,True,150683
90,47523,Inbound - Web,2026-07-07,26.7,Nurturing,False,94955
91,46840,Outbound - Cold Call,2025-06-17,20.7,Converted,True,93606
