opportunity_id,account_id,contact_id,lead_id,rep_id,product_id,source,created_date,deal_value,discount_requested_pct,num_stakeholders,expected_close_date,actual_close_date,stage,stage_reached_before_close,close_status,lost_reason,sales_cycle_days_planned
1,44490,88943,6,112,9,Inbound - Web,2024-02-24,14300.0,8.9,3,2024-05-05,2024-05-05,Closed Won,Negotiation,Closed Won,,71
2,40983,82012,11,99,12,Inbound - Web,2024-11-23,343000.0,9.6,1,2025-03-23,2025-03-23,Closed Lost,Proposal,Closed Lost,Feature Gap,120
3,100612,201266,16,109,8,Referral,2024-11-24,104500.0,17.0,2,2025-02-03,2025-02-03,Closed Lost,Proposal,Closed Lost,Chose Competitor,71
4,93470,186994,20,109,16,Partner Channel,2024-10-16,185800.0,9.0,7,2025-02-24,2025-02-24,Closed Won,Negotiation,Closed Won,,131
5,14512,29075,22,44,7,Inbound - Web,2025-06-24,40000.0,1.3,3,2025-09-07,2025-09-07,Closed Won,Negotiation,Closed Won,,75
6,6276,12626,24,102,16,Inbound - Web,2025-07-25,99300.0,8.6,2,2025-09-12,2025-09-12,Closed Lost,Negotiation,Closed Lost,No Decision / Timing,49
7,12772,25567,25,102,15,Referral,2024-08-28,67900.0,11.3,2,2024-10-12,2024-10-12,Closed Lost,Proposal,Closed Lost,Champion Left Company,45
8,59280,118601,30,138,13,Inbound - Web,2026-06-11,349200.0,7.9,6,2026-10-14,,Negotiation,Negotiation,Open,,125
9,107430,214966,37,178,9,Inbound - Web,2026-02-12,21700.0,15.6,5,2026-05-06,2026-05-06,Closed Lost,Proposal,Closed Lost,Feature Gap,83
10,41255,82546,39,64,11,Outbound - Cold Call,2025-01-22,17200.0,8.7,6,2025-04-28,2025-04-28,Closed Lost,Proposal,Closed Lost,Budget Constraints,96
11,75871,151774,49,11,15,Outbound - Email,2025-07-26,26400.0,10.3,2,2025-10-16,2025-10-16,Closed Won,Negotiation,Closed Won,,82
12,60897,121840,60,157,8,Outbound - Cold Call,2024-03-05,84400.0,9.0,3,2024-05-17,2024-05-17,Closed Lost,Negotiation,Closed Lost,Pricing Too High,73
13,19623,39263,63,129,8,Referral,2024-03-13,41700.0,9.8,3,2024-05-16,2024-05-16,Closed Lost,Negotiation,Closed Lost,Champion Left Company,64
14,119912,239940,64,9,6,Referral,2024-07-30,1222000.0,22.2,7,2024-11-03,2024-11-03,Closed Lost,Negotiation,Closed Lost,Champion Left Company,96
15,104402,208975,70,69,8,Outbound - Cold Call,2024-08-20,25200.0,6.5,5,2024-10-28,2024-10-28,Closed Won,Negotiation,Closed Won,,69
16,93911,187885,71,23,15,Inbound - Web,2025-09-27,18100.0,0.3,3,2025-12-01,2025-12-01,Closed Lost,Negotiation,Closed Lost,Champion Left Company,65
17,3486,6957,72,173,14,Trade Show / Event,2024-12-18,6100.0,0.0,1,2025-01-21,2025-01-21,Closed Lost,Proposal,Closed Lost,Budget Constraints,34
18,111072,222240,80,84,15,Partner Channel,2024-08-24,9100.0,0.1,4,2024-10-18,2024-10-18,Closed Lost,Proposal,Closed Lost,Feature Gap,55
19,46356,92658,83,63,16,Partner Channel,2025-07-16,112000.0,16.6,2,2025-09-02,2025-09-02,Closed Won,Negotiation,Closed Won,,48
20,44355,88675,84,9,10,Referral,2024-04-29,123300.0,10.3,4,2024-06-28,2024-06-28,Closed Lost,Proposal,Closed Lost,Feature Gap,60
21,75332,150683,89,86,12,Referral,2025-01-04,251000.0,8.3,7,2025-05-01,2025-05-01,Closed Won,Negotiation,Closed Won,,117
22,46840,93606,91,152,11,Outbound - Cold Call,2025-07-09,19700.0,0.0,2,2025-08-03,2025-08-03,Closed Won,Negotiation,Closed Won,,25
23,34446,68944,97,121,7,Inbound - Web,2024-07-19,164900.0,7.9,1,2024-09-09,2024-09-09,Closed Won,Negotiation,Closed Won,,52
24,86634,173263,104,123,11,Inbound - Web,2024-06-29,33400.0,8.0,4,2024-09-04,2024-09-04,Closed Won,Negotiation,Closed Won,,67
25,50587,101059,105,23,15,Trade Show / Event,2024-08-08,93800.0,9.2,6,2024-11-06,2024-11-06,Closed Won,Negotiation,Closed Won,,90
26,69981,139986,106,108,8,Inbound - Web,2025-12-07,102800.0,8.4,4,2026-03-24,2026-03-24,Closed Won,Negotiation,Closed Won,,107
27,104137,208431,108,3,5,Inbound - Web,2026-02-26,89400.0,6.6,2,2026-04-20,2026-04-20,Closed Won,Negotiation,Closed Won,,53
28,54055,108087,110,170,14,Inbound - Web,2024-03-02,26500.0,0.0,5,2024-07-11,2024-07-11,Closed Lost,Negotiation,Closed Lost,Budget Constraints,131
29,116027,232203,111,152,16,Outbound - Email,2024-06-29,72000.0,13.4,5,2024-09-16,2024-09-16,Closed Lost,Proposal,Closed Lost,No Decision / Timing,79
30,27751,55610,112,98,10,Outbound - Email,2026-04-14,118300.0,18.8,1,2026-05-05,2026-05-05,Closed Won,Negotiation,Closed Won,,21
31,71615,143267,116,179,1,Trade Show / Event,2025-04-20,243600.0,5.4,5,2025-07-09,2025-07-09,Closed Won,Negotiation,Closed Won,,80
32,791,1602,122,23,7,Inbound - Web,2026-01-15,56200.0,13.6,4,2026-03-25,2026-03-25,Closed Lost,Proposal,Closed Lost,Pricing Too High,69
33,76862,153738,125,133,8,Inbound - Web,2026-05-09,248000.0,16.1,6,2026-11-12,,Negotiation,Negotiation,Open,,187
34,5455,10979,128,108,2,Inbound - Web,2026-04-13,758500.0,10.8,3,2026-06-03,2026-06-03,Closed Lost,Negotiation,Closed Lost,Feature Gap,51
35,91822,183649,133,114,14,Partner Channel,2024-09-03,10700.0,3.5,3,2025-01-07,2025-01-07,Closed Lost,Negotiation,Closed Lost,Champion Left Company,126
36,78594,157179,134,155,7,Trade Show / Event,2026-08-07,89800.0,0.0,2,2026-10-28,,Proposal,Proposal,Open,,82
37,109883,219865,138,43,15,Referral,2025-06-03,8400.0,3.9,1,2025-07-07,2025-07-07,Closed Lost,Proposal,Closed Lost,Pricing Too High,34
38,45446,90850,139,79,5,Trade Show / Event,2025-07-22,47900.0,12.4,4,2025-10-25,2025-10-25,Closed Won,Negotiation,Closed Won,,95
39,37371,74811,141,25,1,Partner Channel,2026-01-19,116300.0,7.7,4,2026-03-14,2026-03-14,Closed Won,Negotiation,Closed Won,,54
40,49127,98178,151,52,16,Referral,2025-06-28,219500.0,17.5,5,2025-12-14,2025-12-14,Closed Won,Negotiation,Closed Won,,169
41,90935,181877,155,174,4,Outbound - Cold Call,2024-06-22,414900.0,10.7,4,2024-08-12,2024-08-12,Closed Lost,Negotiation,Closed Lost,Budget Constraints,51
42,78928,157853,160,40,5,Inbound - Web,2026-07-21,210400.0,17.5,10,2027-01-22,,Needs Analysis,Needs Analysis,Open,,185
43,68560,137140,161,55,15,Inbound - Web,2024-08-26,149500.0,17.0,7,2025-01-13,2025-01-13,Closed Lost,Proposal,Closed Lost,Pricing Too High,140
44,92295,184608,164,80,16,Referral,2026-07-19,10700.0,6.9,3,2026-08-31,2026-08-31,Closed Lost,Proposal,Closed Lost,Pricing Too High,43
