history_id,opportunity_id,stage,entered_date,exited_date,duration_days,still_in_stage,days_in_stage_so_far
1,1,Qualification,2024-02-24,2024-03-06,11.0,False,
2,1,Needs Analysis,2024-03-06,2024-03-23,17.0,False,
3,1,Proposal,2024-03-23,2024-04-14,22.0,False,
4,1,Negotiation,2024-04-14,2024-05-05,21.0,False,
5,2,Qualification,2024-11-23,2024-12-11,18.0,False,
6,2,Needs Analysis,2024-12-11,2025-01-10,30.0,False,
7,2,Proposal,2025-01-10,2025-03-23,72.0,False,
8,3,Qualification,2024-11-24,2024-12-05,11.0,False,
9,3,Needs Analysis,2024-12-05,2024-12-22,17.0,False,
10,3,Proposal,2024-12-22,2025-02-03,43.0,False,
11,4,Qualification,2024-10-16,2024-11-05,20.0,False,
12,4,Needs Analysis,2024-11-05,2024-12-07,32.0,False,
13,4,Proposal,2024-12-07,2025-01-16,40.0,False,
14,4,Negotiation,2025-01-16,2025-02-24,39.0,False,
15,5,Qualification,2025-06-24,2025-07-05,11.0,False,
16,5,Needs Analysis,2025-07-05,2025-07-24,19.0,False,
17,5,Proposal,2025-07-24,2025-08-15,22.0,False,
18,5,Negotiation,2025-08-15,2025-09-07,23.0,False,
19,6,Qualification,2025-07-25,2025-08-01,7.0,False,
20,6,Needs Analysis,2025-08-01,2025-08-14,13.0,False,
21,6,Proposal,2025-08-14,2025-08-28,14.0,False,
22,6,Negotiation,2025-08-28,2025-09-12,15.0,False,
23,7,Qualification,2024-08-28,2024-09-04,7.0,False,
24,7,Needs Analysis,2024-09-04,2024-09-15,11.0,False,
25,7,Proposal,2024-09-15,2024-10-12,27.0,False,
26,8,Qualification,2026-06-11,2026-06-30,19.0,False,
27,8,Needs Analysis,2026-06-30,2026-07-31,31.0,False,
28,8,Proposal,2026-07-31,2026-09-07,38.0,False,
29,8,Negotiation,2026-09-07,,,True,11.0
30,9,Qualification,2026-02-12,2026-02-24,12.0,False,
31,9,Needs Analysis,2026-02-24,2026-03-17,21.0,False,
32,9,Proposal,2026-03-17,2026-05-06,50.0,False,
33,10,Qualification,2025-01-22,2025-02-05,14.0,False,
34,10,Needs Analysis,2025-02-05,2025-03-01,24.0,False,
35,10,Proposal,2025-03-01,2025-04-28,58.0,False,
36,11,Qualification,2025-07-26,2025-08-07,12.0,False,
37,11,Needs Analysis,2025-08-07,2025-08-28,21.0,False,
38,11,Proposal,2025-08-28,2025-09-21,24.0,False,
39,11,Negotiation,2025-09-21,2025-10-16,25.0,False,
40,12,Qualification,2024-03-05,2024-03-16,11.0,False,
41,12,Needs Analysis,2024-03-16,2024-04-03,18.0,False,
42,12,Proposal,2024-04-03,2024-04-25,22.0,False,
43,12,Negotiation,2024-04-25,2024-05-17,22.0,False,
44,13,Qualification,2024-03-13,2024-03-23,10.0,False,
45,13,Needs Analysis,2024-03-23,2024-04-08,16.0,False,
46,13,Proposal,2024-04-08,2024-04-27,19.0,False,
47,13,Negotiation,2024-04-27,2024-05-16,19.0,False,
48,14,Qualification,2024-07-30,2024-08-13,14.0,False,
49,14,Needs Analysis,2024-08-13,2024-09-06,24.0,False,
50,14,Proposal,2024-09-06,2024-10-05,29.0,False,
51,14,Negotiation,2024-10-05,2024-11-03,29.0,False,
52,15,Qualification,2024-08-20,2024-08-30,10.0,False,
53,15,Needs Analysis,2024-08-30,2024-09-17,18.0,False,
54,15,Proposal,2024-09-17,2024-10-07,20.0,False,
55,15,Negotiation,2024-10-07,2024-10-28,21.0,False,
56,16,Qualification,2025-09-27,2025-10-07,10.0,False,
57,16,Needs Analysis,2025-10-07,2025-10-23,16.0,False,
58,16,Proposal,2025-10-23,2025-11-12,20.0,False,
59,16,Negotiation,2025-11-12,2025-12-01,19.0,False,
60,17,Qualification,2024-12-18,2024-12-23,5.0,False,
61,17,Needs Analysis,2024-12-23,2025-01-01,9.0,False,
62,17,Proposal,2025-01-01,2025-01-21,20.0,False,
63,18,Qualification,2024-08-24,2024-09-01,8.0,False,
64,18,Needs Analysis,2024-09-01,2024-09-15,14.0,False,
65,18,Proposal,2024-09-15,2024-10-18,33.0,False,
66,19,Qualification,2025-07-16,2025-07-23,7.0,False,
67,19,Needs Analysis,2025-07-23,2025-08-04,12.0,False,
68,19,Proposal,2025-08-04,2025-08-19,15.0,False,
69,19,Negotiation,2025-08-19,2025-09-02,14.0,False,
70,20,Qualification,2024-04-29,2024-05-08,9.0,False,
71,20,Needs Analysis,2024-05-08,2024-05-23,15.0,False,
72,20,Proposal,2024-05-23,2024-06-28,36.0,False,
73,21,Qualification,2025-01-04,2025-01-22,18.0,False,
74,21,Needs Analysis,2025-01-22,2025-02-20,29.0,False,
75,21,Proposal,2025-02-20,2025-03-27,35.0,False,
76,21,Negotiation,2025-03-27,2025-05-01,35.0,False,
77,22,Qualification,2025-07-09,2025-07-13,4.0,False,
78,22,Needs Analysis,2025-07-13,2025-07-19,6.0,False,
79,22,Proposal,2025-07-19,2025-07-27,8.0,False,
80,22,Negotiation,2025-07-27,2025-08-03,7.0,False,
81,23,Qualification,2024-07-19,2024-07-27,8.0,False,
82,23,Needs Analysis,2024-07-27,2024-08-09,13.0,False,
83,23,Proposal,2024-08-09,2024-08-24,15.0,False,
84,23,Negotiation,2024-08-24,2024-09-09,16.0,False,
85,24,Qualification,2024-06-29,2024-07-09,10.0,False,
86,24,Needs Analysis,2024-07-09,2024-07-26,17.0,False,
87,24,Proposal,2024-07-26,2024-08-15,20.0,False,
88,24,Negotiation,2024-08-15,2024-09-04,20.0,False,
89,25,Qualification,2024-08-08,2024-08-22,14.0,False,
90,25,Needs Analysis,2024-08-22,2024-09-13,22.0,False,
91,25,Proposal,2024-09-13,2024-10-10,27.0,False,
92,25,Negotiation,2024-10-10,2024-11-06,27.0,False,
93,26,Qualification,2025-12-07,2025-12-23,16.0,False,
94,26,Needs Analysis,2025-12-23,2026-01-19,27.0,False,
95,26,Proposal,2026-01-19,2026-02-20,32.0,False,
96,26,Negotiation,2026-02-20,2026-03-24,32.0,False,
97,27,Qualification,2026-02-26,2026-03-06,8.0,False,
98,27,Needs Analysis,2026-03-06,2026-03-19,13.0,False,
99,27,Proposal,2026-03-19,2026-04-04,16.0,False,
100,27,Negotiation,2026-04-04,2026-04-20,16.0,False,
101,28,Qualification,2024-03-02,2024-03-22,20.0,False,
102,28,Needs Analysis,2024-03-22,2024-04-23,32.0,False,
103,28,Proposal,2024-04-23,2024-06-02,40.0,False,
104,28,Negotiation,2024-06-02,2024-07-11,39.0,False,
105,29,Qualification,2024-06-29,2024-07-11,12.0,False,
106,29,Needs Analysis,2024-07-11,2024-07-31,20.0,False,
107,29,Proposal,2024-07-31,2024-09-16,47.0,False,
108,30,Qualification,2026-04-14,2026-04-17,3.0,False,
109,30,Needs Analysis,2026-04-17,2026-04-22,5.0,False,
110,30,Proposal,2026-04-22,2026-04-29,7.0,False,
111,30,Negotiation,2026-04-29,2026-05-05,6.0,False,
112,31,Qualification,2025-04-20,2025-05-02,12.0,False,
113,31,Needs Analysis,2025-05-02,2025-05-22,20.0,False,
114,31,Proposal,2025-05-22,2025-06-15,24.0,False,
115,31,Negotiation,2025-06-15,2025-07-09,24.0,False,
116,32,Qualification,2026-01-15,2026-01-25,10.0,False,
