activity_id,opportunity_id,rep_id,activity_type,activity_date,duration_minutes,outcome
1,1,112,Email,2024-02-27,0,Positive - Advancing
2,1,112,Meeting,2024-05-04,10,Negative / Objection
3,1,112,Call,2024-03-28,51,Neutral
4,1,112,Meeting,2024-03-01,55,Neutral
5,1,112,Proposal Discussion,2024-05-03,0,Positive - Advancing
6,1,112,Email,2024-04-24,0,Positive - Advancing
7,1,112,Proposal Discussion,2024-03-17,0,Negative / Objection
8,2,99,Meeting,2025-01-14,26,Neutral
9,2,99,Email,2024-12-18,0,Negative / Objection
10,3,109,Meeting,2024-12-26,24,Positive - Advancing
11,3,109,Call,2024-12-06,19,Positive - Advancing
12,3,109,Email,2025-01-09,0,Positive - Advancing
13,3,109,Meeting,2025-01-25,35,Negative / Objection
14,3,109,Demo,2024-12-16,34,Negative / Objection
15,3,109,Email,2024-12-19,0,Positive - Advancing
16,4,109,Proposal Discussion,2025-01-18,0,Positive - Advancing
17,4,109,Call,2024-10-16,17,Positive - Advancing
18,4,109,Email,2025-02-15,0,Positive - Advancing
19,4,109,Call,2024-10-29,27,Positive - Advancing
20,4,109,Meeting,2025-01-12,24,Positive - Advancing
21,4,109,Email,2025-02-13,0,No Response
22,4,109,Email,2025-01-02,0,Positive - Advancing
23,4,109,Demo,2025-01-19,21,Positive - Advancing
24,4,109,Call,2024-10-17,28,Positive - Advancing
25,5,44,Proposal Discussion,2025-06-26,0,Positive - Advancing
26,5,44,Email,2025-08-01,0,Positive - Advancing
27,5,44,Email,2025-07-22,0,Neutral
28,5,44,Email,2025-09-06,0,Positive - Advancing
29,5,44,Email,2025-07-20,0,Positive - Advancing
30,5,44,Demo,2025-09-04,29,Positive - Advancing
31,5,44,Email,2025-08-24,0,Negative / Objection
32,5,44,Call,2025-07-17,34,Positive - Advancing
33,5,44,Call,2025-06-25,25,Positive - Advancing
34,5,44,Meeting,2025-08-19,8,No Response
35,5,44,Call,2025-07-27,26,Neutral
36,6,102,Meeting,2025-07-26,30,Positive - Advancing
37,6,102,Proposal Discussion,2025-08-03,0,No Response
38,6,102,Meeting,2025-08-13,5,No Response
