covariate,coef,exp(coef),p
company_size_band_SMB,1.7998860342357672,6.048958051001835,0.0
company_size_band_Mid-Market,0.580042483351198,1.7861143092597553,0.0
source_Trade Show / Event,0.009004909241567285,1.0090455754101906,0.11827229894449182
rep_seniority_Senior,0.008499350248233242,1.0085355722740568,0.07595439131864666
rep_seniority_Mid,0.007811515871740657,1.007842105360063,0.07347506623977677
industry_Energy & Utilities,0.0031280510679242376,1.003132948524833,0.7292827782203264
industry_Media & Telecom,0.0022712398804035335,1.0022738210995201,0.7927789833316836
source_Outbound - Email,0.0006066623150202756,1.0006068463718207,0.9175285574882983
engagement_score,0.00011444034108047083,1.0001144468896261,0.21273988189166
industry_Retail & eCommerce,-0.00025477849499485125,0.9997452539582897,0.9733072363325483
rep_seniority_Principal,-0.0007569992189562649,0.9992432872326668,0.8995607822526991
source_Referral,-0.0012284508553295922,0.9987723033815431,0.8181618984771186
source_Outbound - Cold Call,-0.001737706403468153,0.9982638025341475,0.7594762561536563
industry_Manufacturing,-0.004291825390185107,0.9957173713307937,0.5569491222273797
industry_Technology,-0.0059534558390340235,0.9940642308627738,0.3826222196365079
industry_Financial Services,-0.006234383192831644,0.9937850102510828,0.4000843379253818
discount_requested_pct,-0.00666354714742531,0.9933586050514831,2.2599665083586355e-73
source_Partner Channel,-0.007358090553057081,0.9926689139208553,0.2185625000170993
industry_Government,-0.0077449628467090225,0.9922849520981742,0.43174365123210723
industry_Professional Services,-0.007812214484707912,0.9922182215536784,0.3152499830934522
industry_Healthcare,-0.01053924789701726,0.9895160953799569,0.16513926143671798
log_deal_value,-0.02237014123375064,0.9778782150071097,1.3866944573628325e-43
num_stakeholders,-0.16603924040728082,0.8470129964023208,0.0
